"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","delay","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","relcount","maxcount","f_box2","f_box1","f_box3","f_box4","t_box2","t_box1","t_box3","t_box4"
"25","23","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:51:57","mouseout","","","0_0","box2","2058","1708","0","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.14285714285714","7","1","0","0","0","1708","0","0","0"
"25","23","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:51:57","mouseout","","","0_0","box1","3808","1574","0","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.28571428571429","7","0","1","0","0","0","1574","0","0"
"25","23","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:51:57","mouseout","","","0_0","box3","5907","400","0","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.42857142857143","7","0","0","1","0","0","0","400","0"
"25","23","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:51:57","mouseout","","","0_0","box4","6340","608","0","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.57142857142857","7","0","0","0","1","0","0","0","608"
"25","23","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:51:57","mouseout","","","0_0","box3","6973","317","0","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.71428571428571","7","0","0","1","0","0","0","317","0"
"25","23","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:51:57","mouseout","","","0_0","box2","7648","183","0","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.85714285714286","7","1","0","0","0","183","0","0","0"
"25","23","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:51:57","mouseout","","","0_0","box4","7873","242","0","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","1","7","0","0","0","1","0","0","0","242"
"64","23","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:09","touchout","","","0_0","box1","1009","261","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.25","4","0","1","0","0","0","261","0","0"
"64","23","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:09","touchout","","","0_0","box2","1493","269","0","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.5","4","1","0","0","0","269","0","0","0"
"64","23","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:09","touchout","","","0_0","box3","1950","312","0","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.75","4","0","0","1","0","0","0","312","0"
"64","23","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:09","touchout","","","0_0","box4","2484","335","0","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","1","4","0","0","0","1","0","0","0","335"
"97","23","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:03:38","mouseout","","","0_0","box1","559","500","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.11111111111111","9","0","1","0","0","0","500","0","0"
"97","23","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:03:38","mouseout","","","0_0","box2","1110","716","0","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.22222222222222","9","1","0","0","0","716","0","0","0"
"97","23","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:03:38","mouseout","","","0_0","box1","1859","717","0","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.33333333333333","9","0","1","0","0","0","717","0","0"
"97","23","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:03:38","mouseout","","","0_0","box2","2810","116","0","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.44444444444444","9","1","0","0","0","116","0","0","0"
"97","23","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:03:38","mouseout","","","0_0","box2","2976","283","0","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.55555555555556","9","1","0","0","0","283","0","0","0"
"97","23","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:03:38","mouseout","","","0_0","box3","3426","666","0","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.66666666666667","9","0","0","1","0","0","0","666","0"
