"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box1","f_box2","f_box4","f_box3","t_box1","t_box2","t_box4","t_box3"
"11","6","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:47:25","","","1","9","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","9","4","3","1","1","3364","2991","483","691"
"58","6","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:29:13","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","1","1","2","1","252","273","479","469"
"111","6","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:05:35","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","1","1","2","366","550","316","550"
"126","6","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 20:49:38","","","1","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","8","2","2","2","2","839","938","834","741"
"162","6","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:17:33","","","1","12","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","12","5","4","1","2","1832","1799","433","899"
"208","6","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:51:24","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","1034","878","682","399"
"276","6","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:16:56","","","1","8","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","8","2","2","2","2","1399","1099","1132","899"
"297","6","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:55:33","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","1","3","2","1","656","990","732","349"
"347","6","IE2X2rUMjLbOp5","84.1.28.121","-1","B","2022-06-17 12:49:45","","","1","11","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","11","4","2","1","4","3644","2265","518","1885"
"384","6","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:05:02","","","1","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","3","1","1","1","0","433","698","367","0"
"432","6","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 14:00:48","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","132","343","376","460"
"452","6","0PpX0R5S2b3GB5","208.218.225.177","-1","B","2022-06-17 15:25:47","","","1","10","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","10","4","3","1","2","8039","5900","1022","2768"
"463","6","fqX2QjgCkRvgzm","62.165.198.141","-1","A","2022-06-17 17:27:41","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","2","2","1","2","1860","1175","2160","1155"
"491","6","QNJzRFTETtYeje","90.146.163.221","-1","B","2022-06-18 05:29:10","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","1743","1294","936","638"
