row_col;soon;late;small;large
1;0 weeks;2 weeks;€ 15,1;€ 17,4
2;0 weeks;2 weeks;€ 22,1;€ 31,1
3;0 weeks;2 weeks;€ 42,5;€ 47,9
4;0 weeks;2 weeks;€ 43,5;€ 51,2
5;0 weeks;2 weeks;€ 46,1;€ 50,7
6;0 weeks;2 weeks;€ 52,5;€ 55,1
7;0 weeks;2 weeks;€ 55,3;€ 69,1
8;0 weeks;2 weeks;€ 62,9;€ 75,5
9;0 weeks;4 weeks;€ 24,7;€ 27,2
10;0 weeks;4 weeks;€ 27,1;€ 31,9
11;0 weeks;4 weeks;€ 31,4;€ 44,1
12;0 weeks;4 weeks;€ 36,1;€ 37,9
13;0 weeks;4 weeks;€ 42,4;€ 48,8
14;0 weeks;4 weeks;€ 43,9;€ 49,4
15;0 weeks;4 weeks;€ 57,7;€ 72,1
16;0 weeks;4 weeks;€ 62,1;€ 74,5
17;2 weeks;4 weeks;€ 15,7;€ 18,8
18;2 weeks;4 weeks;€ 33,6;€ 47,1
19;2 weeks;4 weeks;€ 35,1;€ 43,9
20;2 weeks;4 weeks;€ 42,9;€ 50,4
21;2 weeks;4 weeks;€ 51,3;€ 56,4
22;2 weeks;4 weeks;€ 53,1;€ 55,8
23;2 weeks;4 weeks;€ 54,9;€ 63,1
24;2 weeks;4 weeks;€ 55,2;€ 62,1
25;2 weeks;5 weeks;€ 19,3;€ 27,1
26;2 weeks;5 weeks;€ 24,4;€ 25,7
27;2 weeks;5 weeks;€ 37,1;€ 43,6
28;2 weeks;5 weeks;€ 40,7;€ 50,9
29;2 weeks;5 weeks;€ 47,2;€ 51,9
30;2 weeks;5 weeks;€ 49,5;€ 55,7
31;2 weeks;5 weeks;€ 51,9;€ 62,5
32;2 weeks;5 weeks;€ 57,8;€ 66,5
33;2 weeks;6 weeks;€ 18,5;€ 22,2
34;2 weeks;6 weeks;€ 27,8;€ 32,7
35;2 weeks;6 weeks;€ 33,3;€ 37,5
36;2 weeks;6 weeks;€ 44,8;€ 51,5
37;2 weeks;6 weeks;€ 48,7;€ 51,1
38;2 weeks;6 weeks;€ 51,9;€ 57,1
39;2 weeks;6 weeks;€ 54,2;€ 75,9
40;2 weeks ;6 weeks ;€ 68,3;€ 85,4
